iteration:epoch=>170, loss=0.000107, best_epoch=169, best_VMSE=0.000107
iteration:epoch=>171, loss=0.000107, best_epoch=170, best_VMSE=0.000107
iteration:epoch=>172, loss=0.000106, best_epoch=171, best_VMSE=0.000106
iteration:epoch=>173, loss=0.000106, best_epoch=172, best_VMSE=0.000106
iteration:epoch=>174, loss=0.000106, best_epoch=173, best_VMSE=0.000106
iteration:epoch=>175, loss=0.000105, best_epoch=174, best_VMSE=0.000105
iteration:epoch=>176, loss=0.000105, best_epoch=175, best_VMSE=0.000105
iteration:epoch=>177, loss=0.000105, best_epoch=176, best_VMSE=0.000105
iteration:epoch=>178, loss=0.000104, best_epoch=177, best_VMSE=0.000104
iteration:epoch=>179, loss=0.000104, best_epoch=178, best_VMSE=0.000104
iteration:epoch=>180, loss=0.000104, best_epoch=179, best_VMSE=0.000104
iteration:epoch=>181, loss=0.000104, best_epoch=180, best_VMSE=0.000104
iteration:epoch=>182, loss=0.000103, best_epoch=181, best_VMSE=0.000103
iteration:epoch=>183, loss=0.000103, best_epoch=182, best_VMSE=0.000103
iteration:epoch=>184, loss=0.000103, best_epoch=183, best_VMSE=0.000103
iteration:epoch=>185, loss=0.000102, best_epoch=184, best_VMSE=0.000102
iteration:epoch=>186, loss=0.000102, best_epoch=185, best_VMSE=0.000102
iteration:epoch=>187, loss=0.000102, best_epoch=186, best_VMSE=0.000102
iteration:epoch=>188, loss=0.000102, best_epoch=187, best_VMSE=0.000102
iteration:epoch=>189, loss=0.000101, best_epoch=188, best_VMSE=0.000101
iteration:epoch=>190, loss=0.000101, best_epoch=189, best_VMSE=0.000101
iteration:epoch=>191, loss=0.000101, best_epoch=190, best_VMSE=0.000101
iteration:epoch=>192, loss=0.000101, best_epoch=191, best_VMSE=0.000101
iteration:epoch=>193, loss=0.0001, best_epoch=192, best_VMSE=0.0001
iteration:epoch=>194, loss=0.0001, best_epoch=193, best_VMSE=0.0001
iteration:epoch=>195, loss=9.99e-05, best_epoch=194, best_VMSE=9.99e-05
iteration:epoch=>196, loss=9.97e-05, best_epoch=195, best_VMSE=9.97e-05
iteration:epoch=>197, loss=9.94e-05, best_epoch=196, best_VMSE=9.94e-05
iteration:epoch=>198, loss=9.92e-05, best_epoch=197, best_VMSE=9.92e-05
iteration:epoch=>199, loss=9.89e-05, best_epoch=198, best_VMSE=9.89e-05
iteration:epoch=>200, loss=9.87e-05, best_epoch=199, best_VMSE=9.87e-05
